2026-08-01T11:20:00.000000000Z	index	web		observed	260	40	3644	
2026-08-02T16:00:00.000000000Z	scratch/old-notes	web		observed	48	0	48	
2026-08-03T09:35:00.000000000Z	notes/rust/async	web		moved	0	0	150	notes/async
2026-08-03T09:40:00.000000000Z	notes/rhizome	web		observed	30	8	118	
2026-08-03T13:20:00.000000000Z	notes/rust/async	claude-code		observed	120	16	254	
2026-08-03T16:45:00.000000000Z	book	file		observed	43	0	43	
2026-08-03T16:52:00.000000000Z	book/one	file		observed	25	0	25	
2026-08-04T09:20:00.000000000Z	book/one/the-ferry	file		observed	212	0	212	
2026-08-04T10:10:00.000000000Z	notes/rust/pinning	claude-code		observed	86	0	86	
2026-08-04T14:30:00.000000000Z	notes/rustlings	web		observed	76	0	76	
2026-08-04T15:05:00.000000000Z	book/one/opening	file		observed	103	0	103	
2026-08-05T09:15:00.000000000Z	scratch/rust/from-a-talk	file		observed	167	0	167	
2026-08-05T10:40:00.000000000Z	book/two	file		observed	29	0	29	
2026-08-05T11:15:00.000000000Z	book/two/the-return	web		observed	137	0	137	
2026-08-05T13:35:00.000000000Z	index	file		observed	220	21	3843	
2026-08-05T14:20:00.000000000Z	book/two/the-argument	file		observed	107	0	107	
2026-08-05T15:40:00.000000000Z	book/one/the-ferry	claude-code		observed	96	120	188	
2026-08-05T22:35:00.000000000Z	scratch/inbox	file		observed	30	5	85	
2026-08-06T10:05:00.000000000Z	scratch/rust/from-a-talk	claude-code		observed	24	24	167	
2026-08-06T11:30:00.000000000Z	book/appendix	file		observed	81	0	81	
2026-08-06T14:10:00.000000000Z	scratch/old-notes	web		deleted	0	0	0	
